"organization_type_choice","country","current_position_choice","years_research_exp","years_program_exp","gender","research_area","program_freq","peer_review","program_lang_choice","code_publishing","code_reuse_inner","code_reuse_outer","devel_practices","devel_practices_freq_version","devel_practices_freq_review","devel_practices_freq_ci","devel_practices_freq_unit","devel_practices_freq_regression","devel_practices_freq_system","code_reviewer_choice","genai_tool_exp_choice","genai_tool_freq","genai_primary_tool_choice","genai_access_mode_choice","genai_lines_accepted","space_s1","space_p1","space_p2","space_a1","space_c1","space_c2","space_e1","space_e2","space_global"
"Higher education","United States of America","Post-doctoral researcher",7,5,"Man","Physical sciences","Monthly",NA,"Python","Always","Never","Always","Version control","Most of the time",NA,NA,NA,NA,NA,NA,"ChatGPT,Claude Code","Sometimes","ChatGPT","Through a web browser","5-10 lines","Strongly agree",NA,"Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",4,6,"Non-binary / gender-diverse","Social sciences","Weekly",NA,"Python,R","Always","Sometimes","Never","Version control,Code testing,Code review","Never","Never",NA,"Never","Never","Never",NA,"ChatGPT,Claude","Most of the time","ChatGPT","Through a web browser","5-10 lines","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree"
"National laboratory","United States of America","Research software engineer",8,8,"Woman","Computer and information services","Weekly",NA,"Python,R,MATLAB,Bash","Most of the time","Always","Most of the time","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","Most of the time","Always","About half the time","Most of the time","A peer in your research group","ChatGPT,A custom tool provided by organization,Claude","About half the time","A custom tool provided by organization","Through a web browser","1-5 lines","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree"
"Higher education","United States of America","Research staff",25,30,"Man","Physical sciences","Weekly",NA,"Python,JavaScript,Other","Always","Always","Always","Version control,Code testing,Code review,Continuous integration","Always","Sometimes","Most of the time","About half the time","About half the time","About half the time","A collaborator outside the research group","ChatGPT,Cursor,Claude,Claude Code","Most of the time","Cursor","With a desktop app","50-100 lines","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research software engineer",20,27,"Man","Life sciences","Daily",NA,"Python,JavaScript,Bash,Other","Sometimes","Most of the time","Most of the time","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","Most of the time","About half the time","About half the time","About half the time","A peer in your research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other (self-describe)","United States of America","Research software engineer",12,15,"Man","Life sciences","Daily",NA,"Python,Bash","Always","Always","Always","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","Always","Always","About half the time","Sometimes","A peer in your research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other (self-describe)","United States of America","Research software engineer",7,11,"Man","Other","Daily",NA,"Python,R,C++,Bash,Other","Always","Always","Most of the time","Version control,Code testing,Code review,Continuous integration","Always","Always","Always","Always","Always","Most of the time","A peer in your research group","GitHub Copilot","Sometimes","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree"
"Higher education","United States of America","Research software engineer",10,35,"Man","Life sciences","Daily",NA,"Python,C++,Bash","Most of the time","Most of the time","About half the time","Version control,Code testing,Code review,Continuous integration","Always","Sometimes","Sometimes","Always","Sometimes","About half the time","A peer in your research group","ChatGPT,GitHub Copilot","Most of the time","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research software engineer",10,11,"Woman","Engineering","Daily",NA,"Python,Bash","Always","Always","Most of the time","Version control,Code testing,Code review,Continuous integration","Always","About half the time","About half the time","Never","Never","Never",NA,"ChatGPT,GitHub Copilot,Google Gemini,Claude,Microsoft Copilot","Most of the time","Claude","Through a web browser",">100 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree"
"Higher education","United States of America","Faculty",15,18,"Man","Life sciences","Weekly",NA,"Python","Always","Always","Most of the time","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","About half the time","Sometimes","Never","Never","A peer in your research group","ChatGPT,GitHub Copilot,Microsoft Copilot","About half the time","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Somewhat agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly agree"
"Other (self-describe)","Canada","Research staff",8,8,"Man","Physical sciences","Daily",NA,"Python,C,MATLAB,Julia,JavaScript,Bash","Most of the time","Most of the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Sometimes","Most of the time","Most of the time","Most of the time","Most of the time","A peer in your research group","ChatGPT,Claude,Other (please write in)","Sometimes","ChatGPT","Through a web browser","1-5 lines","Neither agree nor disagree","Strongly agree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree"
"Private sector","United States of America","Other (self-describe)",15,12,"Man","Physical sciences","Daily",NA,"Python,Bash","Always","Most of the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Always","Always","Always","Always","Always","A peer in your research group","ChatGPT,GitHub Copilot,Claude,Claude Code,Microsoft Copilot","About half the time","Microsoft Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","5-10 lines","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree"
"Other (self-describe)","United States of America","Research software engineer",8,8,"Woman","Other","Daily",NA,"Python","Always","Always","Always","Version control,Code testing,Code review,Continuous integration","Always","Always","Always","Always","Always","Most of the time","A peer in your research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other (self-describe)","United States of America","Research staff",20,20,"Man","Life sciences","Weekly",NA,"Python,R,MATLAB,Bash","Always","Most of the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Most of the time","About half the time","Sometimes","Sometimes","Sometimes","Never",NA,"ChatGPT,A custom tool provided by organization,GitHub Copilot,Google Gemini","Most of the time","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Research staff",15,7,"Woman","Life sciences","Monthly",NA,"Python,R","Sometimes","About half the time","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",4,10,"Non-binary / gender-diverse","Physical sciences","Weekly",NA,"Python","Always","About half the time","Sometimes","Version control,Code testing,Code review,Continuous integration","About half the time","Sometimes","Sometimes","Sometimes","Never","Never","A peer in your research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other (self-describe)","United States of America","Research software engineer",1,6,"Woman","Social sciences","Daily",NA,"Python,JavaScript,Other","Most of the time","Always","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","About half the time","Sometimes","Never","Never","Sometimes",NA,"ChatGPT,GitHub Copilot,Google Gemini","About half the time","ChatGPT","Through a web browser","5-10 lines","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree"
"Higher education","United States of America","Research software engineer",15,45,"Man","Life sciences","Daily",NA,"C++","Always","Always","Always","Version control,Code testing,Code review,Continuous integration","Most of the time","Sometimes","Most of the time","Most of the time","Most of the time","About half the time","A collaborator outside the research group",NA,"Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research software engineer",33,43,"Man","Geosciences, atmospheric sciences & ocean sciences","Daily",NA,"Python,C,C++,Bash,Other","Most of the time","Most of the time","Most of the time","Version control,Code testing,Code review,Continuous integration","Most of the time","Sometimes","About half the time","Most of the time","Most of the time","Most of the time","A peer in your research group","ChatGPT,Google Gemini","Sometimes","ChatGPT","Through a web browser","10-50 lines","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Faculty",10,5,"Woman","Life sciences","Daily",NA,"Python,R","Always","Always","Most of the time","Version control,Code testing,Code review","Always","Most of the time",NA,"Never","Never","Never","A peer in your research group","ChatGPT,GitHub Copilot,Claude,Microsoft Copilot","Most of the time","Claude","Through a web browser,As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.),With a desktop app","10-50 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"National laboratory","United States of America","Research software engineer",17,25,"Man","Geosciences, atmospheric sciences & ocean sciences","Daily",NA,"Python,C++,FORTRAN,JavaScript,Bash","Always","About half the time","About half the time","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","About half the time","About half the time","Most of the time","Always","A collaborator outside the research group","ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",NA,3,"Man","Computer and information services","Weekly",NA,"Python","Always","Never","About half the time","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,Microsoft Copilot","Most of the time","Microsoft Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","10-50 lines","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research software engineer",8,10,"Man","Mathematics and statistics","Daily","Yes","C,C++","Always","Always","Most of the time","Version control,Code testing,Code review,Continuous integration","Always","Always","Always","Always","Always","Always","A peer in your research group",NA,"Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Other (self-describe)",2,5,"Man","Engineering","Daily","Yes","MATLAB","Never","Never","Never","Version control,Code testing,Code review,Continuous integration","Always","Never","Never","Sometimes","Sometimes","Sometimes",NA,"ChatGPT,GitHub Copilot","Most of the time","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Faculty",10,10,"Man","Business management & administration","Monthly",NA,"Python,R","Sometimes","Sometimes","About half the time","Version control,Code testing,Code review,Continuous integration","About half the time","About half the time","About half the time","About half the time","About half the time","About half the time","A peer in your research group","ChatGPT,Google Gemini,Microsoft Copilot","Sometimes","ChatGPT","Through a web browser","5-10 lines","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
"Higher education","United States of America","Research software engineer",18,18,"Man","Physical sciences","Weekly","Yes","Python,C,FORTRAN,Bash,Other","Always","Most of the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","Most of the time","Sometimes","Sometimes","Sometimes","A peer in your research group","ChatGPT,GitHub Copilot,Google Gemini","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Private sector","United States of America","Research staff",12,11,"Man","Other","Daily","Yes","Python,R,MATLAB,Other","Sometimes","Sometimes","Never","Version control,Code testing,Code review","Always","About half the time",NA,"Most of the time","Sometimes","About half the time",NA,"ChatGPT,Microsoft Copilot","Sometimes","Microsoft Copilot","Through a web browser","5-10 lines","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Post-doctoral researcher",8,10,"Man","Social sciences","Weekly","Yes","Python,R,Stata,JavaScript,Bash","Sometimes","Most of the time","Sometimes","Version control,Code testing,Code review,Continuous integration","About half the time","About half the time","Sometimes","Sometimes","Sometimes","Sometimes","A peer in your research group","Cursor,Claude","Sometimes","Claude","With a desktop app","I don't use genAI to produce code suggestions directly","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Research staff",8,8,"Woman","Other","Weekly","Yes","R,Other","Always","Sometimes","Never","Version control,Code testing,Code review","Most of the time","Most of the time",NA,"Never","Never","Never","A peer in your research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Other (self-describe)",2,2,"Man","Social sciences","Weekly","Yes","R","Sometimes","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,Claude,Perplexity","Most of the time","ChatGPT","Through a web browser,With a desktop app","50-100 lines","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree"
"Higher education","United States of America","Other (self-describe)",9,8,"Man","Life sciences","Daily","Yes","R,Bash","Most of the time","Sometimes","Sometimes","Version control,Code testing,Code review",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",3,7,"Man","Computer and information services","Daily","Yes","Python,C++,Bash","Most of the time","Always","About half the time","Version control,Code testing,Code review,Continuous integration","Always","Sometimes","Sometimes","Sometimes","Most of the time","Always","A peer in your research group","ChatGPT,GitHub Copilot,Claude","Sometimes","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"Higher education","United States of America","Research staff",8,8,"Woman","Physical sciences","Weekly","Yes","Python,MATLAB","Never","Most of the time","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",19,23,"Woman","Engineering","Weekly","Yes","Python,C++,MATLAB,Julia,Bash","Always","Most of the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","About half the time","Most of the time","About half the time","Never","Most of the time",NA,"A custom tool provided by organization,GitHub Copilot,Claude","Sometimes","Claude","Through a web browser","10-50 lines","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"Higher education","United States of America","Research staff",10,12,"Man","Life sciences","Daily","Yes","Python,R,Bash","Most of the time","Most of the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Most of the time","Sometimes","Never","Never","Never","Never","A peer in your research group","ChatGPT","About half the time","ChatGPT","Through a web browser","5-10 lines","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",3,4,"Man","Geosciences, atmospheric sciences & ocean sciences","Weekly","Yes","Python,C,C++,MATLAB","Most of the time","Most of the time","About half the time","Version control,Code testing,Code review,Continuous integration","Always","About half the time","Sometimes","Most of the time","Sometimes","Most of the time",NA,"ChatGPT,GitHub Copilot","Most of the time","ChatGPT","Through a web browser,As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","10-50 lines","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",18,15,"Man","Social sciences","Daily","Yes","Python","Never","Sometimes","Never","Version control,Code testing,Code review,Continuous integration","About half the time","About half the time","About half the time","Most of the time","Always","Always","A peer in your research group","ChatGPT,A custom tool provided by organization,Other (please write in)","Always","Other (please write in)","Through a web browser","10-50 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Faculty",15,12,"Woman","Life sciences","Monthly","Yes","Python,R,Bash","Sometimes","About half the time","Never","Version control,Code review","Always","About half the time",NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Post-doctoral researcher",6,12,"Man","Engineering","Daily","Yes","Python","Most of the time","Sometimes","Sometimes","Version control,Code testing,Continuous integration","Most of the time",NA,"Sometimes","Sometimes","Never","Sometimes",NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",3,2,"Woman","Physical sciences","Monthly","Yes","MATLAB,Other","Always","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",9,20,"Woman","Life sciences","Daily","Yes","Python,R,Bash,Other","Most of the time","Sometimes","Sometimes","Version control,Code testing","Most of the time",NA,NA,"Never","Never","Never",NA,"ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",5,2,"Woman","Psychology","Weekly","Yes","R","Most of the time","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","About half the time","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Post-doctoral researcher",12,2,"Man","Life sciences","Monthly","Yes","R","Never","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Always","ChatGPT","Through a web browser",">100 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",8,6,"Woman","Life sciences","Daily","Yes","Python,MATLAB,JavaScript","About half the time","About half the time","About half the time","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","Most of the time","Most of the time","Sometimes","Sometimes","A peer in your research group","ChatGPT,A custom tool provided by organization,Google Gemini,Microsoft Copilot","Sometimes","A custom tool provided by organization","Through a web browser","5-10 lines","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Post-doctoral researcher",9,5,"Woman","Physical sciences","Weekly","Yes","Python,Other","Never","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",3,3,"Woman","Geosciences, atmospheric sciences & ocean sciences","Daily","Yes","Python,R","Sometimes","Most of the time","Sometimes","Code testing,Code review,Continuous integration",NA,"Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","A peer in your research group","ChatGPT,Google Gemini","About half the time","ChatGPT","Through a web browser","5-10 lines","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",5,5,"Woman","Social sciences","Less than once a month","Yes","Stata","Never","Sometimes","Never","Version control,Code review","Never","About half the time",NA,NA,NA,NA,NA,"ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Other (self-describe)",4,3,"Woman","Physical sciences","Daily","Yes","Python,C++","Sometimes","Most of the time","Sometimes","Code testing,Code review,Continuous integration",NA,"Never","Never","Never","Sometimes","Sometimes",NA,"ChatGPT,GitHub Copilot","About half the time","ChatGPT","Through a web browser","10-50 lines","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",4,7,"Woman","Mathematics and statistics","Weekly","Yes","R","Sometimes","About half the time","Sometimes","Version control","Most of the time",NA,NA,NA,NA,NA,NA,"ChatGPT,A custom tool provided by organization","Sometimes","A custom tool provided by organization","Through a web browser","10-50 lines","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",2,2,"Man","Mathematics and statistics","Monthly","Yes","Python,C++,Other","Sometimes","Sometimes","Never","Code testing,Code review",NA,"About half the time",NA,"Sometimes","Never","Never",NA,"ChatGPT,Other (please write in)","I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",1,1,"Woman","Other","Weekly","I'm not sure","Other","Never","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",40,30,"Man","Life sciences","Weekly","Yes","Python,R,Bash","Always","Never","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Sometimes","About half the time","About half the time","About half the time","About half the time","A peer in your research group","ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",15,10,"Woman","Social sciences","Weekly","Yes","Stata","Never","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
